Description/Owner,RPC Program Number,Short Name,Reference
Reserved,0,,[RFC5531]
Unassigned,1-99999,,[RFC5531]
portmapper,100000,pmapprog portmap rpcbind,[RFC5531]
remote stats,100001,rstatprog,[RFC5531]
remote users,100002,rusersprog,[RFC5531]
nfs,100003,nfs,[RFC5531]
yellow pages (NIS),100004,ypprog ypserv,[RFC5531]
mount demon,100005,mountprog,[RFC5531]
remote dbx,100006,dbxprog,[RFC5531]
yp binder (NIS),100007,ypbindprog ypbind,[RFC5531]
shutdown msg,100008,wall,[RFC5531]
yppasswd server,100009,yppasswdprog yppasswdd,[RFC5531]
ether stats,100010,etherstatprog,[RFC5531]
disk quotas,100011,rquota,[RFC5531]
spray packets,100012,spray,[RFC5531]
3270 mapper,100013,ibm3270prog,[RFC5531]
RJE mapper,100014,ibmrjeprog,[RFC5531]
selection service,100015,selnsvcprog,[RFC5531]
remote database access,100016,rdatabaseprog,[RFC5531]
remote execution,100017,rexec,[RFC5531]
Alice Office Automation,100018,aliceprog,[RFC5531]
scheduling service,100019,schedprog,[RFC5531]
local lock manager,100020,lockprog llockmgr,[RFC5531]
network lock manager,100021,netlockprog nlockmgr,[RFC5531]
x.25 inr protocol,100022,x25prog,[RFC5531]
status monitor 1,100023,statmon1,[RFC5531]
status monitor 2,100024,statmon2,[RFC5531]
selection library,100025,selnlibprog,[RFC5531]
boot parameters service,100026,bootparam,[RFC5531]
mazewars game,100027,mazeprog,[RFC5531]
yp update (NIS),100028,ypupdateprog ypupdate,[RFC5531]
key server,100029,keyserveprog,[RFC5531]
secure login,100030,securecmdprog,[RFC5531]
nfs net forwarder init,100031,netfwdiprog,[RFC5531]
nfs net forwarder trans,100032,netfwdtprog,[RFC5531]
sunlink MAP,100033,sunlinkmap,[RFC5531]
network monitor,100034,netmonprog,[RFC5531]
lightweight database,100035,dbaseprog,[RFC5531]
password authorization,100036,pwdauthprog,[RFC5531]
translucent file svc,100037,tfsprog,[RFC5531]
nse server,100038,nseprog,[RFC5531]
nse activate daemon,100039,nse_activate_prog,[RFC5531]
sunview help,100040,sunview_help_prog,[RFC5531]
pnp install,100041,pnp_prog,[RFC5531]
ip addr allocator,100042,ipaddr_alloc_prog,[RFC5531]
show filehandle,100043,filehandle,[RFC5531]
MVS NFS mount,100044,mvsnfsprog,[RFC5531]
remote user file operations,100045,rem_fileop_user_prog,[RFC5531]
batched ypupdate,100046,batch_ypupdateprog,[RFC5531]
network execution mgr,100047,nem_prog,[RFC5531]
raytrace/mandelbrot remote daemon,100048,raytrace_rd_prog,[RFC5531]
raytrace/mandelbrot local daemon,100049,raytrace_ld_prog,[RFC5531]
remote group file operations,100050,rem_fileop_group_prog,[RFC5531]
remote system file operations,100051,rem_fileop_system_prog,[RFC5531]
remote system role operations,100052,rem_system_role_prog,[RFC5531]
gpd lego fb simulator,100053,[unknown],[RFC5531]
gpd simulator interface,100054,[unknown],[RFC5531]
ioadmd,100055,ioadmd,[RFC5531]
filemerge,100056,filemerge_prog,[RFC5531]
Name Binding Program,100057,namebind_prog,[RFC5531]
sunlink NJE,100058,njeprog,[RFC5531]
MVSNFS get attribute service,100059,mvsattrprog,[RFC5531]
SunAccess/SunLink resource manager,100060,rmgrprog,[RFC5531]
UID allocation service,100061,uidallocprog,[RFC5531]
license broker,100062,lbserverprog,[RFC5531]
NETlicense client binder,100063,lbbinderprog,[RFC5531]
GID allocation service,100064,gidallocprog,[RFC5531]
SunIsam,100065,sunisamprog,[RFC5531]
Remote Debug Server,100066,rdbsrvprog,[RFC5531]
Network Directory Daemon,100067,[unknown],[RFC5531]
Network Calendar Program,100068,cmsd cm,[RFC5531]
ypxfrd,100069,ypxfrd,[RFC5531]
rpc.timed,100070,timedprog,[RFC5531]
bugtraqd,100071,bugtraqd,[RFC5531]
,100072,[unknown],[RFC5531]
Connectathon Billboard - NFS,100073,[unknown],[RFC5531]
Connectathon Billboard - X,100074,[unknown],[RFC5531]
Sun tool for scheduling rooms,100075,schedroom,[RFC5531]
Authentication Negotiation,100076,authnegotiate_prog,[RFC5531]
Database manipulation,100077,attribute_prog,[RFC5531]
Kerberos authentication daemon,100078,kerbprog,[RFC5531]
Internal testing product (no name),100079,[unknown],[RFC5531]
Sun Consulting Special,100080,autodump_prog,[RFC5531]
Event protocol,100081,event_svc,[RFC5531]
bugtraq_qd,100082,bugtraq_qd,[RFC5531]
ToolTalk and Link Service Project,100083,database service,[RFC5531]
Consulting Services,100084,[unknown],[RFC5531]
Consulting Services,100085,[unknown],[RFC5531]
Consulting Services,100086,[unknown],[RFC5531]
Jupiter Administration,100087,adm_agent admind,[RFC5531]
,100088,[unknown],[RFC5531]
,100089,[unknown],[RFC5531]
Dual Disk support,100090,libdsd/dsd,[RFC5531]
DocViewer 1.1,100091,[unknown],[RFC5531]
ToolTalk,100092,remote_activation_svc,[RFC5531]
Consulting Services,100093,host_checking,[RFC5531]
SNA peer-to-peer,100094,[unknown],[RFC5531]
Roger Riggs,100095,searchit,[RFC5531]
Robert Allen,100096,mesgtool,[RFC5531]
SNA,100097,[unknown],[RFC5531]
SISU,100098,networked version of CS5,[RFC5531]
NFS Automount File System,100099,autofs,[RFC5531]
,100100,msgboard,[RFC5531]
event dispatching agent [eventd],100101,netmgt_eventd_prog,[RFC5531]
statistics/event logger [netlogd],100102,netmgt_netlogd_prog,[RFC5531]
topology display manager [topology],100103,netmgt_topology_prog,[RFC5531]
syncstat agent [syncstatd],100104,netmgt_syncstatd_prog,[RFC5531]
ip packet stats agent [ippktd],100105,netmgt_ippktd_prog,[RFC5531]
netmgt config agent [configd],100106,netmgt_configd_prog,[RFC5531]
restat agent [restatd],100107,netmgt_restatd_prog,[RFC5531]
lpq agent [lprstatd],100108,netmgt_lprstatd_prog,[RFC5531]
netmgt activity agent [mgtlogd],100109,netmgt_mgtlogd_prog,[RFC5531]
proxy DECnet NCP agent [proxydni],100110,netmgt_proxydni_prog,[RFC5531]
topology mapper agent [mapperd],100111,netmgt_mapperd_prog,[RFC5531]
netstat agent [netstatd],100112,netmgt_netstatd_prog,[RFC5531]
sample netmgt agent [sampled],100113,netmgt_sampled_prog,[RFC5531]
X.25 statistics agent [vcstatd],100114,netmgt_vcstatd_prog,[RFC5531]
Frame Relay,100128,[unknown],[RFC5531]
PPP agent,100129,[unknown],[RFC5531]
localhad,100130,rpc.localhad,[RFC5531]
layers2,100131,na.layers2,[RFC5531]
token ring agent,100132,na.tr,[RFC5531]
related to lockd and statd,100133,nsm_addr,[RFC5531]
Kerberos project,100134,kwarn,[RFC5531]
ertherif2,100135,na.etherif2,[RFC5531]
hostmem2,100136,na.hostmem2,[RFC5531]
iostat2,100137,na.iostat2,[RFC5531]
snmpv2,100138,na.snmpv2,[RFC5531]
Cooperative Console,100139,cc_sender,[RFC5531]
na.cpustat,100140,na.cpustat,[RFC5531]
Sun Cluster SC3.0,100141,rgmd_receptionist,[RFC5531]
,100142,fed,[RFC5531]
Network Storage,100143,rdc,[RFC5531]
Sun Cluster products,100144,nafo,[RFC5531]
SunCluster 3.0,100145,scadmd,[RFC5531]
ASN.1,100146,amiserv,[RFC5531]
,100147,amiaux # BER and DERencode and decode,[RFC5531]
Delegate Management Server,100148,dm,[RFC5531]
,100149,rkstat,[RFC5531]
,100150,ocfserv,[RFC5531]
,100151,sccheckd,[RFC5531]
,100152,autoclientd,[RFC5531]
,100153,sunvts,[RFC5531]
,100154,ssmond,[RFC5531]
,100155,smserverd,[RFC5531]
,100156,test1,[RFC5531]
,100157,test2,[RFC5531]
,100158,test3,[RFC5531]
,100159,test4,[RFC5531]
,100160,test5,[RFC5531]
,100161,test6,[RFC5531]
,100162,test7,[RFC5531]
,100163,test8,[RFC5531]
,100164,test9,[RFC5531]
,100165,test10,[RFC5531]
,100166,nfsmapid,[RFC5531]
,100167,SUN_WBEM_C_CIMON_HANDLE,[RFC5531]
,100168,sacmmd,[RFC5531]
,100169,fmd_adm,[RFC5531]
,100170,fmd_api,[RFC5531]
,100171,[unknown],[RFC5531]
,100172,idmapd,[RFC5531]
Unassigned,100173 - 100174,,[RFC5531]
snmptrap,100175,na.snmptrap,[RFC5531]
Unassigned,100176-100199,,[RFC5531]
Unassigned,100200,,[RFC5531]
MVS/NFS Memory usage stats server,100201,[unknown],[RFC5531]
Netapp,100202-100207,,[RFC5531]
Unassigned,100208-100210,,[RFC5531]
